gene_name,P,logFC,significant
CAPN5,4.450839331285846e-12,1.5187206177172239,True
ST14,1.6738520598654313e-21,1.5622203137241648,True
ESAM,1.979297463623388e-30,-1.6885141755420103,True
ADAM8,1.4967587624008673e-14,2.2125023737603664,True
TMEM45B,1.0717226197374672e-11,1.6480935026092305,True
WWC2,4.765526238834093e-25,-2.093232896581434,True
SPARCL1,4.71680727208176e-19,-1.8709830657787512,True
ADAMTS1,9.09004067722795e-12,-2.014780510611281,True
PROM2,1.478585947703898e-15,2.4257665209723904,True
VSIG4,1.1707289447544525e-13,-2.4490244449702367,True
PDIA4,5.115854314896082e-19,1.7862638787081926,True
ATAD2,5.438966515862852e-11,1.548889873452418,True
FBXO32,1.0765965183912882e-09,1.5951755094743385,True
PALM2AKAP2,8.577739701170941e-25,-2.197870450250024,True
PSMG3,7.082777266598811e-15,1.8417648429040177,True
KRTCAP3,1.9051625730177055e-17,1.6076474659207327,True
RHPN1,2.4571143591194144e-24,2.534222316953675,True
H2BC5,1.3430459561223303e-15,2.565191195677397,True
LAD1,2.452402365862442e-19,2.0381347428118257,True
TPPP3,5.433650524595699e-07,-1.533133495034875,True
TFF3,0.0002249171442387289,2.656465215762625,True
TLCD1,7.717677436444057e-21,1.63702779778736,True
FLAD1,6.195824035007109e-25,1.5274784887984523,True
COX7A1,9.793811343851862e-13,-1.6339252986122446,True
BICDL2,3.146494403506889e-19,1.586104862284349,True
CAPN13,0.016069480198094212,1.5726342030922311,True
TGFBR2,2.754464145982481e-40,-1.6808667959732406,True
RPL39L,1.6177249853300883e-12,1.7290138340566383,True
S100P,7.103643738067972e-05,5.091701130075452,True
PTTG1,1.799298711820985e-16,2.0071936604378893,True
MICALL2,6.540601370884772e-20,2.0213042126228125,True
CLDN3,1.29392148318828e-13,2.222242083886901,True
OTUD1,1.96342503523326e-20,-1.8470701504892981,True
JCAD,9.695944943554865e-16,-1.79004071712946,True
NSMF,2.962718821961215e-11,1.5768933831389016,True
LARGE2,2.490254458211786e-14,2.3149455189296018,True
AMOTL1,7.07599973320243e-30,-1.5796267713019776,True
CYYR1,7.390488753885912e-19,-1.8531733209399472,True
MFAP4,8.14628853948931e-20,-2.196501318673865,True
MS4A7,1.43756401770007e-18,-1.7037936968857952,True
TK1,1.8525148346238186e-17,2.526686925103464,True
ABCA3,2.4188864732369508e-20,-1.7849874339073855,True
FEN1,3.7098344352331515e-20,1.5312643353208912,True
CAVIN2,2.1671371112203176e-24,-2.8951454685652465,True
SERINC2,5.559365104385642e-19,2.126540206724226,True
